date,instrument,reason
2024-07-23,000982.SZ,no_minute_data
2024-07-23,600297.SH,no_minute_data
2024-07-24,000982.SZ,no_minute_data
2024-07-24,600297.SH,no_minute_data
2024-07-25,000982.SZ,no_minute_data
2024-07-25,600297.SH,no_minute_data
2024-07-26,000982.SZ,no_minute_data
2024-07-26,600297.SH,no_minute_data
2024-07-29,000982.SZ,no_minute_data
2024-07-29,600297.SH,no_minute_data
2024-07-30,000982.SZ,no_minute_data
2024-07-30,600297.SH,no_minute_data
2024-07-31,000982.SZ,no_minute_data
2024-07-31,600297.SH,no_minute_data
2024-07-31,600711.SH,no_minute_data
2024-08-01,000982.SZ,no_minute_data
2024-08-01,600297.SH,no_minute_data
2024-08-01,601107.SH,no_minute_data
2024-08-02,000982.SZ,no_minute_data
2024-08-02,600297.SH,no_minute_data
2024-08-02,601107.SH,no_minute_data
2024-08-05,000982.SZ,no_minute_data
2024-08-05,600297.SH,no_minute_data
2024-08-05,601107.SH,no_minute_data
2024-08-06,000982.SZ,no_minute_data
2024-08-06,600297.SH,no_minute_data
2024-08-06,601107.SH,no_minute_data
2024-08-07,600297.SH,no_minute_data
2024-08-07,601107.SH,no_minute_data
2024-08-08,600297.SH,no_minute_data
2024-08-08,601107.SH,no_minute_data
2024-08-09,600297.SH,no_minute_data
2024-08-09,601107.SH,no_minute_data
2024-08-12,600297.SH,no_minute_data
2024-08-12,601107.SH,no_minute_data
2024-08-13,600297.SH,no_minute_data
2024-08-13,601107.SH,no_minute_data
2024-08-14,600297.SH,no_minute_data
2024-08-14,601107.SH,no_minute_data
2024-08-15,600297.SH,no_minute_data
2024-08-16,600297.SH,no_minute_data
2024-08-19,600297.SH,no_minute_data
2024-08-20,600297.SH,no_minute_data
2024-08-21,600297.SH,no_minute_data
2024-08-22,600297.SH,no_minute_data
2024-08-23,600297.SH,no_minute_data
2024-10-21,000603.SZ,no_minute_data
2024-10-22,000603.SZ,no_minute_data
2024-10-22,688368.SH,no_minute_data
2024-10-23,000603.SZ,no_minute_data
2024-10-23,688368.SH,no_minute_data
2024-10-24,000603.SZ,no_minute_data
2024-10-24,688368.SH,no_minute_data
2024-10-25,000603.SZ,no_minute_data
2024-10-25,688368.SH,no_minute_data
2024-10-28,000603.SZ,no_minute_data
2024-10-28,688368.SH,no_minute_data
2024-10-29,000603.SZ,no_minute_data
2024-10-29,688368.SH,no_minute_data
2024-10-30,000603.SZ,no_minute_data
2024-10-30,688368.SH,no_minute_data
2024-10-31,600225.SH,no_minute_data
2024-10-31,688368.SH,no_minute_data
2024-11-01,688368.SH,no_minute_data
2024-11-04,688368.SH,no_minute_data
2024-11-05,688173.SH,no_minute_data
2024-11-06,002761.SZ,no_minute_data
2024-11-06,688173.SH,no_minute_data
2024-11-07,002761.SZ,no_minute_data
2024-11-07,688173.SH,no_minute_data
2024-11-08,002761.SZ,no_minute_data
2024-11-08,688173.SH,no_minute_data
2024-11-11,002761.SZ,no_minute_data
2024-11-11,688173.SH,no_minute_data
2024-11-12,002761.SZ,no_minute_data
2024-11-12,688173.SH,no_minute_data
2024-11-13,002761.SZ,no_minute_data
2024-11-13,688173.SH,no_minute_data
2024-11-14,002761.SZ,no_minute_data
2024-11-14,688173.SH,no_minute_data
2024-11-15,002761.SZ,no_minute_data
2024-11-15,688173.SH,no_minute_data
2024-11-18,002761.SZ,no_minute_data
2024-11-19,002761.SZ,no_minute_data
2024-11-28,600641.SH,no_minute_data
2024-12-04,600331.SH,no_minute_data
2024-12-13,600225.SH,no_minute_data
2024-12-17,600575.SH,no_minute_data
2024-12-17,600718.SH,no_minute_data
2024-12-18,600575.SH,no_minute_data
2024-12-18,600718.SH,no_minute_data
2024-12-19,600575.SH,no_minute_data
2024-12-19,600718.SH,no_minute_data
2024-12-20,600575.SH,no_minute_data
2024-12-20,600718.SH,no_minute_data
2024-12-23,600575.SH,no_minute_data
2024-12-23,600718.SH,no_minute_data
2024-12-23,688139.SH,no_minute_data
2024-12-24,600575.SH,no_minute_data
2024-12-24,600718.SH,no_minute_data
2024-12-24,688139.SH,no_minute_data
2024-12-25,600575.SH,no_minute_data
2024-12-25,600718.SH,no_minute_data
2024-12-25,688139.SH,no_minute_data
2024-12-26,600575.SH,no_minute_data
2024-12-26,600718.SH,no_minute_data
2024-12-26,688139.SH,no_minute_data
2024-12-27,600575.SH,no_minute_data
2024-12-27,600718.SH,no_minute_data
2024-12-27,688139.SH,no_minute_data
2024-12-30,600575.SH,no_minute_data
2024-12-30,600718.SH,no_minute_data
2024-12-30,688139.SH,no_minute_data
2024-12-31,688139.SH,no_minute_data
